cntry,Country_Name,Country_Highlight,Age_Group,Political_Spectrum,Avg_Immigration,n,Intensidad
CY,Chipre,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.19577869926723,25,Negativo
CY,Chipre,Resto de Europa,Gen X (43-58),Centro (4-6),3.961218273333524,74,Muy negativo
CY,Chipre,Resto de Europa,Gen X (43-58),Derecha (7-10),3.3081563083835364,49,Muy negativo
CY,Chipre,Resto de Europa,Boomers+ (59+),Izquierda (0-3),3.8323316004777346,69,Muy negativo
CY,Chipre,Resto de Europa,Boomers+ (59+),Centro (4-6),3.454241131737347,119,Muy negativo
CY,Chipre,Resto de Europa,Boomers+ (59+),Derecha (7-10),3.602612722256501,87,Muy negativo
DE,Alemania,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.827708247604804,100,Positivo
DE,Alemania,Resto de Europa,Gen Z (<27),Centro (4-6),6.012603349688102,180,Positivo
DE,Alemania,Resto de Europa,Gen Z (<27),Derecha (7-10),5.988612341130415,33,Neutral
DE,Alemania,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.307483582606498,131,Muy positivo
DE,Alemania,Resto de Europa,Millennials (27-42),Centro (4-6),5.497781032097513,351,Neutral
DE,Alemania,Resto de Europa,Millennials (27-42),Derecha (7-10),4.232103087025298,60,Negativo
DE,Alemania,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.58966115790857,148,Positivo
DE,Alemania,Resto de Europa,Gen X (43-58),Centro (4-6),5.175382938837776,358,Neutral
DE,Alemania,Resto de Europa,Gen X (43-58),Derecha (7-10),4.348554770888989,59,Negativo
DE,Alemania,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.5902692389259805,214,Neutral
DE,Alemania,Resto de Europa,Boomers+ (59+),Centro (4-6),4.953273983633886,532,Negativo
DE,Alemania,Resto de Europa,Boomers+ (59+),Derecha (7-10),4.5343315360558,112,Negativo
EE,Estonia,Resto de Europa,Gen Z (<27),Izquierda (0-3),5.810339089820509,22,Neutral
EE,Estonia,Resto de Europa,Gen Z (<27),Centro (4-6),5.189635612815601,82,Neutral
EE,Estonia,Resto de Europa,Gen Z (<27),Derecha (7-10),5.20417592774179,30,Neutral
