Education_Level,España,Polonia,Media Europea
Básica,5.6579207256050426,5.065695230174393,5.150579564648002
Media,6.387014393155143,5.58521998493461,5.361551920770952
Superior,6.876658158725984,6.043987856674594,6.438143876611522
