cntry,Country_Name,Country_Highlight,Region,Education_Level,Avg_Immigration,Avg_Culture,n,Education_Gradient
ES,España,España,Europa Meridional,Básica,5.6579207256050426,5.915758562146697,701,1.2187374331209417
ES,España,España,Europa Meridional,Media,6.387014393155143,6.673518282050057,483,1.2187374331209417
ES,España,España,Europa Meridional,Superior,6.876658158725984,7.282858718394626,447,1.2187374331209417
PL,Polonia,Polonia,Europa Oriental,Básica,5.065695230174393,4.89517035383073,327,0.9782926265002008
PL,Polonia,Polonia,Europa Oriental,Media,5.58521998493461,5.614442580880749,458,0.9782926265002008
PL,Polonia,Polonia,Europa Oriental,Superior,6.043987856674594,6.069657884860511,390,0.9782926265002008
AVG,Media Europea,Media Europea,Total,Básica,5.150579564648002,5.266292311239446,7798,0
AVG,Media Europea,Media Europea,Total,Media,5.361551920770952,5.495829183271148,20856,0
AVG,Media Europea,Media Europea,Total,Superior,6.438143876611522,6.645696361102343,12011,0
